event_logo_url,event_name,event_start_date,event_end_date,event_venue,event_country,event_description,event_url
http://expo.overseaseducation.sg/v.fastcdn.co/u/0e18fcd3/57786581-0-Untitled-.png,World University Expo @ SUNTEC,2024-07-06,2024-07-06,SUNTEC Convention Centre,,"Join our World University Expo this Saturday, 6 July 2024 12-6.30pm at SUNTEC whereby you can meet staff members of 50+ Renown Unis & Pathways from UK, Australia, Switzerland, USA & NZ etc. (Many travel from overseas for this event). Fantastic One-Stop Event for you to get all your queries answered and get an in-depth understanding of many Renowned Unis & Pathways.",http://expo.overseaseducation.sg/
https://ahiceconference.com/southeastasia/wp-content/uploads/sites/2/2024/05/AHICE-SEA-Logo.jpg,AHICE South East Asia,2025-02-25,2025-02-26,Pan Pacific Singapore,,"The Asian Hotel Industry Conference & Exhibition (AHICE) hosted by HM Magazine made its South East Asia debut in February 2024 on Tuesday 27, Wednesday 28 and Thursday 29 in Singapore. The event was attended by over 500 South East Asia’s leading hotel owners, operators, consultants and suppliers. The 2024 program included evocative, educational and insightful keynote speakers, Q&As and panel sessions featuring more than 50 key speakers from across South East Asia and globally. The launch of AHICE in South East Asia follows the success of the recent Asia Pacific Hotel Industry Conference and Exhibition held in Adelaide, South Australia during May 2023 and attended by a record 1,500 delegates, making it the largest accommodation event in Asia Pacific region. AHICE South East Asia will return to Singapore on 25 – 26 February 2025 at the Pan Pacific Singapore. Stay up to date on all things AHICE [here.](https://ahiceconference.com/southeastasia/subscribe/)",https://ahiceconference.com/southeastasia/
https://apac.commoditytradingweek.com/wp-content/uploads/2024/02/cropped-ctw-apac-main-2.png,Commodity Trading Week APAC,2025-02-25,2025-02-26,Marina Bay Sands,,Commodity Trading Week APAC is the premier event in the Asia Pacific region for the commodity industry. It offers a platform for professionals across all sectors of commodity trading to network and gain insights.,https://apac.commoditytradingweek.com/
https://architecturebuildingservices.com.sg/wp-content/uploads/2022/02/ABS-2024_Logo_withtagline_clear.png,Architecture & Building Services (ABS) 2024,2024-11-13,2024-11-15,Marina Bay Sands Expo & Convention Centre Singapore,,The 10th Architecture & Building Services (ABS) 2024 is a trade exposition for the built environment industry in Singapore and ASEAN countries.,https://architecturebuildingservices.com.sg/
https://asiandownstreaminsights.com/wp-content/uploads/2020/11/logo-asian-downstream-summit.png,Asian Downstream Summit,2024-10-23,2024-10-24,"Sands Expo & Convention Centre, Singapore",,"The Asian Downstream Summit is Asia’s most influential downstream oil and gas event. It brings together senior industry leaders and decision-makers from across the downstream value chain to discuss the industry's challenges and solutions. The event focuses on advancing sustainable energy solutions in Asian petrochemicals and refining industries. Co-located with the Asian Refining Technology Conference (ARTC) and the Ammonia & Carbon Capture Asia (ACCA) conference. The event includes conferences, an expo, and networking opportunities.",https://asiandownstreaminsights.com/events/asian-downstream-summit/
https://asiandownstreaminsights.com/wp-content/uploads/2020/11/logo-artc-resized.png,Asian Refining Technology Conference,2024-10-23,2024-10-24,"Sands Expo & Convention Centre, Singapore",,Advancing Sustainable Energy Solutions in Asian Petrochemicals and Refining Industries,https://asiandownstreaminsights.com/events/asian-refining-technology-conference/
https://beautyasia.com.sg/wp-content/uploads/2022/11/BA2022.jpg,BeautyAsia,2025-02-17,2025-02-19,Marina Bay Sands,,Asia’s most established beauty and wellness networking platform,https://beautyasia.com.sg/show-info/
https://blockchainfestival.asia/img/fs__ticket-body.svg,Blockchain Festival Asia 2025,2025-03-08,2025-03-08,Marina Bay Sands Convention Centre,Singapore,Blockchain Festival Singapore (SG) stands as a main innovative event...,https://blockchainfestival.asia/
https://digimarconapac.com/wp-content/uploads/2020/03/DigiMarCon-APAC-2020-Logo-v2.png,DigiMarCon Asia Pacific 2024-Digital Marketing Conference & Exhibition,2024-09-19,2024-09-20,Marina Bay Sands Expo and Convention Centre,Australia,"DigiMarCon Asia Pacific 2024 is a premier digital marketing, media, and advertising event.",https://digimarconapac.com/
https://exito-e.com/wp-content/uploads/2022/11/Cyber-Security-Summit-Logo.png,Cyber Security Summit Singapore,2025-02-01,2025-02-01,Singapore,Singapore,A Strategic Agenda for Securing Singapore's Cyberspace,https://exito-e.com/cybersecuritysummit/singapore/
https://foodnhotelasia.com/wp-content/uploads/2024/05/FHFB25_Homepage_Logo.png,FHA-Food & Beverage,2025-04-08,2025-04-11,,,"FHA-Food & Beverage is an annual event held every April. It focuses on the dynamic food and beverage sector, bringing together a diverse array of global suppliers and key buyers from Asia and beyond. This event is a hub for exploring the latest trends, innovations, and high-quality products in the F&B industry.",https://foodnhotelasia.com/
https://gynecology.magnusconferences.com/uploads/logo/2nd-edition-of-global-conference-on-gynecology-womens-health-6207.png,2nd Edition of Global Conference on Gynecology & Women's Health,2024-10-17,2024-10-19,Best Western Plus Hotel & Conference Center,"Maryland, USA","The upcoming scientific gathering, ""2nd Edition of Global Conference on Gynecology and Women’s Health"" (Gynec 2024), organized by Magnus Group, is set to be a significant event. This Hybrid Event is scheduled to take place during October 17-19, 2024, in Baltimore, Maryland, USA, and virtually.",https://gynecology.magnusconferences.com/
https://ieee-cas.org/files/ieeecass/cass-75_horizontal-color.svg,2024 IEEE International Conference on Multimedia and Expo,2024-07-15,2024-07-19,"Niagra Falls, Canada",,The IEEE International Conference on Multimedia and Expo for researchers in the field of multimedia.,https://ieee-cas.org/event/conference/2024-ieee-international-symposium-circuits-and-systems
https://ieee-cas.org/files/ieeecass/cass-75_horizontal-color.svg,2024 IEEE International Conference on Multimedia and Expo,2024-07-15,2024-07-19,"Niagra Falls, Canada",,The IEEE International Conference on Multimedia and Expo is a premier forum for resear...,https://ieee-cas.org/event/symposium/2024-ieee-international-symposium-circuits-and-systems
https://imapac.com/wp-content/uploads/elementor/thumbs/blwa-2025-qlpkss0huve4b6aok2exhf54mzvk2ul363p4plmv40.png,9th BioLogistics World Asia 2025,2025-03-12,2025-03-13,"Marina Bay Sands Expo & Convention Centre, Singapore",Singapore,The 9th BioLogistics World Asia 2025 is a one-of-a-kind symposium...,https://imapac.com/events/biologistics-world-asia/
https://ispe.org/themes/custom/ispe/logo.svg,ISPE Singapore Conference & Exhibition 2024,2024-08-28,2024-08-30,Suntec Singapore,,One of the largest and most respected pharmaceutical manufacturing shows in Singapore for pharmaceutical and biomanufacturing professionals. The event highlights best practices and services from manufacturing facility design to finished product.,https://ispe.org/singapore-affiliate/events/ispe-singapore-conference-exhibition-2024
https://mygfsi.com/wp-content/themes/consumer_goods_forum/assets/imgs/cgf-logo.svg,GFSI Conference,2025-03-31,2025-04-03,,,The annual rendezvous for everyone involved in advancing food safety and consumer trust worldwide.,https://mygfsi.com/events/gfsi-conference/
https://oishii-world.com/wp-content/themes/foodjapan/static/img/logo2024.jpg,Food Japan 2024,2024-10-24,2024-10-26,Suntec Singapore,,"ASEAN Exhibition of Oishii Japanese F&B, Technology, and Services",https://oishii-world.com/en/
